id_paper;id_type;Title;Journal;Volume;Number;Pages;Year;ISSN;doi;Abstract;Date;URL;ISBN;Issue;Month
2793;102;Ncadherin and ?1integrins cooperate during the development of th;Dev Biol;364;;178-91;2012;1095-564X;10.1016/j.ydbio.2012.02.001;<p>Cell adhesion controls various embryonic morphogenetic processes, including the development of the enteric nervous system (ENS). Ablation of ?1-integrin (?1-/-) expression in enteric neural crest cells (ENCC) in mice leads to major alterations in the ENS structure caused by reduced migration and increased aggregation properties of ENCC during gut colonization, which gives rise to a Hirschsprung's disease-like phenotype. In the present study, we examined the role of N-cadherin in ENS development and the interplay with ?1 integrins during this process. The Ht-PA-Cre mouse model was used to target gene disruption of N-cadherin and ?1 integrin in migratory NCC and to produce single- and double-conditional mutants for these two types of adhesion receptors. Double mutation of N-cadherin and ?1 integrin led to embryonic lethality with severe defects in ENS development. N-cadherin-null (Ncad-/-) ENCC exhibited a delayed colonization in the developing gut at E12.5, although this was to a lesser extent than in ?1-/- mutants. This delay of Ncad-/- ENCC migration was recovered at later stages of development. The double Ncad-/-; ?1-/- mutant ENCC failed to colonize the distal part of the gut and there was more severe aganglionosis in the proximal hindgut than in the single mutants for N-cadherin or ?1-integrin. This was due to an altered speed of locomotion and directionality in the gut wall. The abnormal aggregation defect of ENCC and the disorganized ganglia network in the ?1-/- mutant was not observed in the double mutant. This indicates that N-cadherin enhances the effect of the ?1-integrin mutation and demonstrates cooperation between these two adhesion receptors during ENS ontogenesis. In conclusion, our data reveal that N-cadherin is not essential for ENS development but it does modulate the modes of ENCC migration and acts in concert with ?1-integrin to control the proper development of the ENS.</p>;2012 Apr 15;;;2;
2796;102;Computational imaging in cell biology;J Cell Biol;161;;477-81;2003;0021-9525;10.1083/jcb.200302097;<p>Microscopy of cells has changed dramatically since its early days in the mid-seventeenth century. Image analysis has concurrently evolved from measurements of hand drawings and still photographs to computational methods that (semi-) automatically quantify objects, distances, concentrations, and velocities of cells and subcellular structures. Today's imaging technologies generate a wealth of data that requires visualization and multi-dimensional and quantitative image analysis as prerequisites to turning qualitative data into quantitative values. Such quantitative data provide the basis for mathematical modeling of protein kinetics and biochemical signaling networks that, in turn, open the way toward a quantitative view of cell biology. Here, we will review technologies for analyzing and reconstructing dynamic structures and processes in the living cell. We will present live-cell studies that would have been impossible without computational imaging. These applications illustrate the potential of computational imaging to enhance our knowledge of the dynamics of cellular structures and processes.</p>;2003 May 12;;;3;
2798;102;SparkMaster automated calcium spark analysis with ImageJ;Am J Physiol Cell Physiol;293;;C1073-81;2007;0363-6143;10.1152/ajpcell.00586.2006;<p>Ca sparks are elementary Ca-release events from intracellular Ca stores that are observed in virtually all types of muscle. Typically, Ca sparks are measured in the line-scan mode with confocal laser-scanning microscopes, yielding two-dimensional images (distance vs. time). The manual analysis of these images is time consuming and prone to errors as well as investigator bias. Therefore, we developed SparkMaster, an automated analysis program that allows rapid and reliable spark analysis. The underlying analysis algorithm is adapted from the threshold-based standard method of spark analysis developed by Cheng et al. (Biophys J 76: 606-617, 1999) and is implemented here in the freely available image-processing software ImageJ. SparkMaster offers a graphical user interface through which all analysis parameters and output options are selected. The analysis includes general image parameters (number of detected sparks, spark frequency) and individual spark parameters (amplitude, full width at half-maximum amplitude, full duration at half-maximum amplitude, full width, full duration, time to peak, maximum steepness of spark upstroke, time constant of spark decay). We validated the algorithm using images with synthetic sparks embedded into backgrounds with different signal-to-noise ratios to determine an analysis criteria at which a high sensitivity is combined with a low frequency of false-positive detections. Finally, we applied SparkMaster to analyze experimental data of sparks measured in intact and permeabilized ventricular cardiomyocytes, permeabilized mammalian skeletal muscle, and intact smooth muscle cells. We found that SparkMaster provides a reliable, easy to use, and fast way of analyzing Ca sparks in a wide variety of experimental conditions.</p>;2007 Sep;;;3;
2800;102;Amplitude distribution of calcium sparks in confocal images theo;Biophys J;76;;606-17;1999;0006-3495;10.1016/S0006-3495(99)77229-2;<p>Determination of the calcium spark amplitude distribution is of critical importance for understanding the nature of elementary calcium release events in striated muscle. In the present study we show, on general theoretical grounds, that calcium sparks, as observed in confocal line scan images, should have a nonmodal, monotonic decreasing amplitude distribution, regardless of whether the underlying events are stereotyped. To test this prediction we developed, implemented, and verified an automated computer algorithm for objective detection and measurement of calcium sparks in raw image data. When the sensitivity and reliability of the algorithm were set appropriately, we observed highly left-skewed or monotonic decreasing amplitude distributions in skeletal muscle cells and cardiomyocytes, confirming the theoretical predictions. The previously reported modal or Gaussian distributions of sparks detected by eye must therefore be the result of subjective detection bias against small amplitude events. In addition, we discuss possible situations when a modal distribution might be observed.</p>;1999 Feb;;;2;
2804;102;Why join groups Lessons from parasitemanipulated Artemia;Ecol Lett;16;;493-501;2013;1461-0248;10.1111/ele.12074;<p>Grouping behaviours (e.g. schooling, shoaling and swarming) are commonly explicated through adaptive hypotheses such as protection against predation, access to mates or improved foraging. However, the hypothesis that aggregation can result from manipulation by parasites to increase their transmission has never been demonstrated. We investigated this hypothesis using natural populations of two crustacean hosts (Artemia franciscana and Artemia parthenogenetica) infected with one cestode and two microsporidian parasites. We found that swarming propensity increased in cestode-infected hosts and that red colour intensity was higher in swarming compared with non-swarming infected hosts. These effects likely result in increased cestode transmission to its final avian host. Furthermore, we found that microsporidian-infected hosts had both increased swarming propensity and surfacing behaviour. Finally, we demonstrated using experimental infections that these concurrent manipulations result in increased spore transmission to new hosts. Hence, this study suggests that parasites can play a prominent role in host grouping behaviours.</p>;2013 Apr;;;4;
2811;102;Simple system using natural mineral water for highthroughput phe;International Journal of High Throughput Screening;;;1;2013;1179-1381;10.2147/IJHTS.S40565;;;http://www.dovepress.com/simple-system-using-natural-mineral-water-for-high-throughput-phenotyp-peer-reviewed-article-IJHTS;;;
2812;102;Quickandclean article figures with FigureJ;J Microsc;252;;89-91;2013;1365-2818;10.1111/jmi.12069;<p>We created FigureJ a new ImageJ plugin dedicated to scientific article figures preparation. Building a convincing figure is a demanding task that covers different steps ranging from content acquisition to figure assembly in editing software. Notions of image processing are required when it comes to even simple tasks such as cropping or resizing images and assembling them in a single figure. Scientific images are typically well handled in dedicated software but poorly supported in software used for laying out the final version of a figure for submission to review process.</p>;2013 Oct;;;1;
2817;103;ImageJ Macro Tool Sets for Biological Image Analysis;ImageJ User and Developer Conference 2012;None;;None;2012;None;;;;;2-919941-18-6;None;
2818;102;ImmunoMembrane a publicly available web application for digital ;Histopathology;60;;758-67;2012;1365-2559;10.1111/j.1365-2559.2011.04142.x;<p><b>AIMS: </b>Assessment of the human epidermal growth factor receptor 2 (HER2) with immunohistochemistry (IHC) is routine practice in clinical pathology laboratories. Visual classification of the staining reaction (usually into 0/1+, 2+ or 3+) is subjective and prone to significant inter- and intra-observer variation. In this study, we describe ImmunoMembrane, an easy-to-use HER2 IHC analysis software, which is freely available as a web application, requiring no download or installation.</p><p><b>METHODS AND RESULTS: </b>ImmunoMembrane uses colour deconvolution for stain separation and a customized algorithm for cell membrane segmentation. A quantitative score (IM-score, 0-20 points) is generated according to the membrane staining intensity and completeness. Specimens are classified into 0/1+, 2+ or 3+ based on IM-score cut-offs defined using a training set. The classification and membrane segmentation are presented as a pseudo-coloured overlay image. With a validation set (144 HercepTest(®) -stained whole tissue sections), ImmunoMembrane matched well with the pathologist's visual classification (weighted kappa ?(w) =0.80), as well as fluorescence in-situ hybridization (FISH) (IHC disagreement 3.5%, n=144) and chromogenic in-situ hybridization (CISH) (IHC disagreement 2.8%, n=144).</p><p><b>CONCLUSIONS: </b>We anticipate that publicly available web applications, such as ImmunoMembrane, will accelerate the adoption of automated image analysis in clinical diagnostics of HER2 IHC. ImmunoMembrane is freely accessible at: http://jvsmicroscope.uta.fi/immunomembrane/.</p>;2012 Apr;;;5;
2830;102;Robust singleparticle tracking in livecell timelapse sequences;Nat Methods;5;;695-702;2008;1548-7105;10.1038/nmeth.1237;<p>Single-particle tracking (SPT) is often the rate-limiting step in live-cell imaging studies of subcellular dynamics. Here we present a tracking algorithm that addresses the principal challenges of SPT, namely high particle density, particle motion heterogeneity, temporary particle disappearance, and particle merging and splitting. The algorithm first links particles between consecutive frames and then links the resulting track segments into complete trajectories. Both steps are formulated as global combinatorial optimization problems whose solution identifies the overall most likely set of particle trajectories throughout a movie. Using this approach, we show that the GTPase dynamin differentially affects the kinetics of long- and short-lived endocytic structures and that the motion of CD36 receptors along cytoskeleton-mediated linear tracks increases their aggregation probability. Both applications indicate the requirement for robust and complete tracking of dense particle fields to dissect the mechanisms of receptor organization at the level of the plasma membrane.</p>;2008 Aug;;;8;
2831;102;Automated cell tracking and analysis in phasecontrast videos iTr;PLoS One;8;;e81266;2013;1932-6203;10.1371/journal.pone.0081266;<p>Cell migration is a key biological process with a role in both physiological and pathological conditions. Locomotion of cells during embryonic development is essential for their correct positioning in the organism; immune cells have to migrate and circulate in response to injury. Failure of cells to migrate or an inappropriate acquisition of migratory capacities can result in severe defects such as altered pigmentation, skull and limb abnormalities during development, and defective wound repair, immunosuppression or tumor dissemination. The ability to accurately analyze and quantify cell migration is important for our understanding of development, homeostasis and disease. In vitro cell tracking experiments, using primary or established cell cultures, are often used to study migration as cells can quickly and easily be genetically or chemically manipulated. Images of the cells are acquired at regular time intervals over several hours using microscopes equipped with CCD camera. The locations (x,y,t) of each cell on the recorded sequence of frames then need to be tracked. Manual computer-assisted tracking is the traditional method for analyzing the migratory behavior of cells. However, this processing is extremely tedious and time-consuming. Most existing tracking algorithms require experience in programming languages that are unfamiliar to most biologists. We therefore developed an automated cell tracking program, written in Java, which uses a mean-shift algorithm and ImageJ as a library. iTrack4U is a user-friendly software. Compared to manual tracking, it saves considerable amount of time to generate and analyze the variables characterizing cell migration, since they are automatically computed with iTrack4U. Another major interest of iTrack4U is the standardization and the lack of inter-experimenter differences. Finally, iTrack4U is adapted for phase contrast and fluorescent cells.</p>;2013;;;11;
2839;103;method for normalizing histology slides for quantitative analysi;Biomedical Imaging: From Nano to Macro, 2009. ISBI '09. IEEE International Symposium on;None;;None;2009;None;10.1109/ISBI.2009.5193250;Inconsistencies in the preparation of histology slides make it difficult to perform quantitative analysis on their results. In this paper we provide two mechanisms for overcoming many of the known inconsistencies in the staining process, thereby bringing slides that were processed or stored under very different conditions into a common, normalized space to enable improved quantitative analysis.;June;;;None;
2850;102;PAR1dependent orientation gradient of dynamic microtubules direc;J Cell Biol;194;;121-35;2011;1540-8140;10.1083/jcb.201103160;<p>Cytoskeletal organization is central to establishing cell polarity in various cellular contexts, including during messenger ribonucleic acid sorting in Drosophila melanogaster oocytes by microtubule (MT)-dependent molecular motors. However, MT organization and dynamics remain controversial in the oocyte. In this paper, we use rapid multichannel live-cell imaging with novel image analysis, tracking, and visualization tools to characterize MT polarity and dynamics while imaging posterior cargo transport. We found that all MTs in the oocyte were highly dynamic and were organized with a biased random polarity that increased toward the posterior. This organization originated through MT nucleation at the oocyte nucleus and cortex, except at the posterior end of the oocyte, where PAR-1 suppressed nucleation. Our findings explain the biased random posterior cargo movements in the oocyte that establish the germline and posterior.</p>;2011 Jul 11;;;1;
2871;102;PALMsiever a tool to turn raw data into results for singlemolecu;Bioinformatics;;;;2014;1367-4811;10.1093/bioinformatics/btu720;<p>During the past decade, localization microscopy (LM) has transformed into an accessible, commercially available technique for life sciences. However, data processing can be challenging to the non-specialist and care is still needed to produce meaningful results. PALMsiever has been developed to provide a user-friendly means of visualizing, filtering and analyzing LM data. It includes drift correction, clustering, intelligent line profiles, many rendering algorithms and 3D data visualization. It incorporates the main analysis and data processing modalities used by experts in the field, as well as several new features we developed, and makes them broadly accessible. It can easily be extended via plugins and is provided as free of charge open-source software.</p><p><b>CONTACT: </b>thomas.pengo@gmail.com.</p>;2014 Oct 31;;;;
2882;102;Arabidopsis plants acclimate to water deficit at low cost throug;Plant Physiology;154;;357–372;2010;1532-2548;10.1104/pp.110.157008;Growth and carbon (C) fluxes are severely altered in plants exposed to soil water deficit. Correspondingly, it has been suggested that plants under water deficit suffer from C shortage. In this study, we test this hypothesis in Arabidopsis (Arabidopsis thaliana) by providing an overview of the responses of growth, C balance, metabolites, enzymes of the central metabolism, and a set of sugar-responsive genes to a sustained soil water deficit. The results show that under drought, rosette relative expansion rate is decreased more than photosynthesis, leading to a more positive C balance, while root growth is promoted. Several soluble metabolites accumulate in response to soil water deficit, with K(+) and organic acids as the main contributors to osmotic adjustment. Osmotic adjustment costs only a small percentage of the daily photosynthetic C fixation. All C metabolites measured (not only starch and sugars but also organic acids and amino acids) show a diurnal turnover that often increased under water deficit, suggesting that these metabolites are readily available for being metabolized in situ or exported to roots. On the basis of 30 enzyme activities, no in-depth reprogramming of C metabolism was observed. Water deficit induces a shift of the expression level of a set of sugar-responsive genes that is indicative of increased, rather than decreased, C availability. These results converge to show that the differential impact of soil water deficit on photosynthesis and rosette expansion results in an increased availability of C for the roots, an increased turnover of C metabolites, and a low-cost C-based osmotic adjustment, and these responses are performed without major reformatting of the primary metabolism machinery.;;http://www.ncbi.nlm.nih.gov/pubmed/20631317;;;
2886;102;Towards realtime image deconvolution application to confocal and;Sci Rep;3;;2523;2013;2045-2322;10.1038/srep02523;<p>Although deconvolution can improve the quality of any type of microscope, the high computational time required has so far limited its massive spreading. Here we demonstrate the ability of the scaled-gradient-projection (SGP) method to provide accelerated versions of the most used algorithms in microscopy. To achieve further increases in efficiency, we also consider implementations on graphic processing units (GPUs). We test the proposed algorithms both on synthetic and real data of confocal and STED microscopy. Combining the SGP method with the GPU implementation we achieve a speed-up factor from about a factor 25 to 690 (with respect the conventional algorithm). The excellent results obtained on STED microscopy images demonstrate the synergy between super-resolution techniques and image-deconvolution. Further, the real-time processing allows conserving one of the most important property of STED microscopy, i.e the ability to provide fast sub-diffraction resolution recordings.</p>;2013;;;;
2897;102;Segmentation and quantification of subcellular structures in flu;Nat Protoc;9;;586-96;2014;1750-2799;10.1038/nprot.2014.037;<p>Detection and quantification of fluorescently labeled molecules in subcellular compartments is a key step in the analysis of many cell biological processes. Pixel-wise colocalization analyses, however, are not always suitable, because they do not provide object-specific information, and they are vulnerable to noise and background fluorescence. Here we present a versatile protocol for a method named 'Squassh' (segmentation and quantification of subcellular shapes), which is used for detecting, delineating and quantifying subcellular structures in fluorescence microscopy images. The workflow is implemented in freely available, user-friendly software. It works on both 2D and 3D images, accounts for the microscope optics and for uneven image background, computes cell masks and provides subpixel accuracy. The Squassh software enables both colocalization and shape analyses. The protocol can be applied in batch, on desktop computers or computer clusters, and it usually requires <1 min and <5 min for 2D and 3D images, respectively. Basic computer-user skills and some experience with fluorescence microscopy are recommended to successfully use the protocol.</p>;2014 Mar;;;3;
2901;102;Automated detection and measurement of isolated retinal arteriol;PLoS One;9;;e91791;2014;1932-6203;10.1371/journal.pone.0091791;<p>Pressure myography studies have played a crucial role in our understanding of vascular physiology and pathophysiology. Such studies depend upon the reliable measurement of changes in the diameter of isolated vessel segments over time. Although several software packages are available to carry out such measurements on small arteries and veins, no such software exists to study smaller vessels (<50 µm in diameter). We provide here a new, freely available open-source algorithm, MyoTracker, to measure and track changes in the diameter of small isolated retinal arterioles. The program has been developed as an ImageJ plug-in and uses a combination of cost analysis and edge enhancement to detect the vessel walls. In tests performed on a dataset of 102 images, automatic measurements were found to be comparable to those of manual ones. The program was also able to track both fast and slow constrictions and dilations during intraluminal pressure changes and following application of several drugs. Variability in automated measurements during analysis of videos and processing times were also investigated and are reported. MyoTracker is a new software to assist during pressure myography experiments on small isolated retinal arterioles. It provides fast and accurate measurements with low levels of noise and works with both individual images and videos. Although the program was developed to work with small arterioles, it is also capable of tracking the walls of other types of microvessels, including venules and capillaries. It also works well with larger arteries, and therefore may provide an alternative to other packages developed for larger vessels when its features are considered advantageous.</p>;2014;;;3;
2906;102;FISHquant automatic counting of transcripts in 3D FISH images;Nat Methods;10;;277-8;2013;1548-7105;10.1038/nmeth.2406;;2013 Apr;;;4;
2915;102;rapidSTORM accurate fast opensource software for localization mi;Nat Methods;9;;1040-1;2012;1548-7105;10.1038/nmeth.2224;;2012 Nov;;;11;
2918;102;PixFRET an ImageJ plugin for FRET calculation that can accommoda;Microsc Res Tech;68;;51-8;2005;1059-910X;10.1002/jemt.20215;<p>Fluorescence resonance energy transfer (FRET) allows the user to investigate interactions between fluorescent partners. One crucial issue when calculating sensitized emission FRET is the correction for spectral bleed-throughs (SBTs), which requires to calculate the ratios between the intensities in the FRET and in the donor or acceptor settings, when only the donor or acceptor are present. Theoretically, SBT ratios should be constant. However, experimentally, these ratios can vary as a function of fluorophore intensity, and assuming constant values may hinder precise FRET calculation. One possible cause for such a variation is the use of a microscope set-up with different photomultipliers for the donor and FRET channels, a set-up allowing higher speed acquisitions on very dynamic fluorescent molecules in living cells. Herein, we show that the bias introduced by the differential response of the two PMTs can be circumvented by a simple modeling of the SBT ratios as a function of fluorophore intensity. Another important issue when performing FRET is the localization of FRET within the cell or a population of cells. We hence developed a freely available ImageJ plug-in, called PixFRET, that allows a simple and rapid determination of SBT parameters and the display of normalized FRET images. The usefulness of this modeling and of the plug-in are exemplified by the study of FRET in a system where two interacting nuclear receptors labeled with ECFP and EYFP are coexpressed in living cells.</p>;2005 Sep;;;1;
2933;102;TANGO a generic tool for highthroughput 3D image analysis for st;Bioinformatics;29;;1840-1;2013;1367-4811;10.1093/bioinformatics/btt276;<p><b>MOTIVATION: </b>The cell nucleus is a highly organized cellular organelle that contains the genetic material. The study of nuclear architecture has become an important field of cellular biology. Extracting quantitative data from 3D fluorescence imaging helps understand the functions of different nuclear compartments. However, such approaches are limited by the requirement for processing and analyzing large sets of images.</p><p><b>RESULTS: </b>Here, we describe Tools for Analysis of Nuclear Genome Organization (TANGO), an image analysis tool dedicated to the study of nuclear architecture. TANGO is a coherent framework allowing biologists to perform the complete analysis process of 3D fluorescence images by combining two environments: ImageJ (http://imagej.nih.gov/ij/) for image processing and quantitative analysis and R (http://cran.r-project.org) for statistical processing of measurement results. It includes an intuitive user interface providing the means to precisely build a segmentation procedure and set-up analyses, without possessing programming skills. TANGO is a versatile tool able to process large sets of images, allowing quantitative study of nuclear organization.</p><p><b>AVAILABILITY: </b>TANGO is composed of two programs: (i) an ImageJ plug-in and (ii) a package (rtango) for R. They are both free and open source, available (http://biophysique.mnhn.fr/tango) for Linux, Microsoft Windows and Macintosh OSX. Distribution is under the GPL v.2 licence.</p><p><b>CONTACT: </b>thomas.boudier@snv.jussieu.fr</p><p><b>SUPPLEMENTARY INFORMATION: </b>Supplementary data are available at Bioinformatics online.</p>;2013 Jul 15;;;14;
